# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  total_energy_per_fu_Ry_fu  converged  iterations  wall_time
30          11.09   300         -827.72959304    -206.9323982600            yes        11          25.81s
30          11.08   300         -827.72909033    -206.9322725825            yes        11          25.77s
30          11.07   300         -827.72857646    -206.9321441150            yes        10          24.33s
30          11.06   300         -827.72804864    -206.9320121600            yes        9           21.38s
30          11.04   300         -827.72695387    -206.9317384675            yes        9           21.22s
30          11.03   300         -827.7263871     -206.9315967750            yes        9           21.77s
30          11.02   300         -827.72580874    -206.9314521850            yes        9           21.24s
30          11.01   300         -827.72521513    -206.9313037825            yes        9           21.45s
30          10.99   300         -827.72398802    -206.9309970050            yes        9           21.23s
30          10.98   300         -827.72335503    -206.9308387575            yes        11          26.83s
30          10.97   300         -827.72270616    -206.9306765400            yes        11          26.25s
30          10.96   300         -827.72204376    -206.9305109400            yes        11          25.68s
40          12.14   400         -827.7344423     -206.9336105750            yes        12          47.50s
40          12.13   400         -827.73475442    -206.9336886050            yes        12          47.18s
40          12.12   400         -827.73506377    -206.9337659425            yes        12          46.83s
40          12.11   400         -827.73537059    -206.9338426475            yes        12          46.85s
40          12.09   400         -827.73597449    -206.9339936225            yes        12          47.53s
40          12.08   400         -827.73627216    -206.9340680400            yes        12          46.28s
40          12.07   400         -827.73656636    -206.9341415900            yes        12          46.01s
40          12.06   400         -827.73685734    -206.9342143350            yes        12          48.09s
40          12.04   400         -827.73742806    -206.9343570150            yes        12          48.24s
40          12.03   400         -827.73770846    -206.9344271150            yes        12          47.48s
40          12.02   400         -827.73798444    -206.9344961100            yes        12          46.85s
40          12.01   400         -827.73825637    -206.9345640925            yes        12          46.64s
40          11.99   400         -827.73878868    -206.9346971700            yes        12          45.91s
40          11.98   400         -827.73904825    -206.9347620625            yes        12          47.67s
40          11.97   400         -827.73930418    -206.9348260450            yes        12          46.29s
40          11.96   400         -827.73955537    -206.9348888425            yes        12          46.06s
40          11.94   400         -827.74004435    -206.9350110875            yes        12          45.85s
40          11.93   400         -827.74028155    -206.9350703875            yes        12          45.67s
40          11.92   400         -827.74051406    -206.9351285150            yes        12          45.95s
40          11.91   400         -827.74074162    -206.9351854050            yes        12          46.71s
40          11.89   400         -827.74118208    -206.9352955200            yes        12          45.88s
40          11.88   400         -827.74139427    -206.9353485675            yes        12          46.14s
40          11.87   400         -827.74160089    -206.9354002225            yes        12          45.90s
40          11.86   400         -827.74180204    -206.9354505100            yes        12          46.14s
40          11.84   400         -827.74218853    -206.9355471325            yes        12          46.75s
40          11.83   400         -827.74237341    -206.9355933525            yes        12          45.72s
40          11.82   400         -827.74255186    -206.9356379650            yes        12          45.90s
40          11.81   400         -827.74272496    -206.9356812400            yes        12          47.26s
40          11.79   400         -827.74305256    -206.9357631400            yes        12          47.58s
40          11.78   400         -827.74320708    -206.9358017700            yes        12          46.44s
40          11.77   400         -827.74335576    -206.9358389400            yes        12          46.80s
40          11.76   400         -827.74349774    -206.9358744350            yes        12          46.25s
40          11.74   400         -827.74376287    -206.9359407175            yes        12          46.26s
40          11.73   400         -827.74388585    -206.9359714625            yes        12          46.98s
40          11.72   400         -827.74400153    -206.9360003825            yes        12          46.64s
40          11.71   400         -827.74411074    -206.9360276850            yes        12          46.71s
40          11.69   400         -827.74430781    -206.9360769525            yes        12          46.47s
40          11.68   400         -827.74439641    -206.9360991025            yes        12          48.09s
40          11.67   400         -827.74447734    -206.9361193350            yes        12          47.94s
40          11.66   400         -827.74455106    -206.9361377650            yes        12          47.56s
40          11.64   400         -827.74467709    -206.9361692725            yes        12          45.83s
40          11.63   400         -827.74472848    -206.9361821200            yes        12          46.88s
40          11.62   400         -827.74477265    -206.9361931625            yes        12          47.06s
40          11.61   400         -827.74480908    -206.9362022700            yes        12          46.57s
40          11.59   400         -827.74485785    -206.9362144625            yes        12          47.75s
40          11.58   400         -827.74487063    -206.9362176575            yes        12          46.72s
40          11.57   400         -827.74487501    -206.9362187525            yes        12          45.83s
40          11.56   400         -827.74487167    -206.9362179175            yes        12          46.39s
40          11.54   400         -827.74484027    -206.9362100675            yes        12          46.07s
40          11.53   400         -827.74481231    -206.9362030775            yes        12          45.57s
40          11.52   400         -827.7447755     -206.9361938750            yes        12          46.62s
40          11.51   400         -827.74473011    -206.9361825275            yes        12          45.26s
40          11.49   400         -827.74461342    -206.9361533550            yes        12          44.88s
40          11.48   400         -827.74454236    -206.9361355900            yes        12          46.38s
40          11.47   400         -827.74446199    -206.9361154975            yes        11          42.16s
40          11.46   400         -827.7443727     -206.9360931750            yes        11          41.66s
40          11.44   400         -827.7441669     -206.9360417250            yes        11          42.50s
40          11.43   400         -827.74404962    -206.9360124050            yes        11          41.53s
40          11.42   400         -827.74392331    -206.9359808275            yes        11          42.15s
40          11.41   400         -827.74378779    -206.9359469475            yes        11          42.89s
40          11.39   400         -827.74348833    -206.9358720825            yes        11          42.24s
40          11.38   400         -827.743324      -206.9358310000            yes        11          42.55s
40          11.37   400         -827.74314996    -206.9357874900            yes        11          42.65s
40          11.36   400         -827.74296563    -206.9357414075            yes        11          43.83s
40          11.34   400         -827.74256691    -206.9356417275            yes        10          42.07s
40          11.33   400         -827.74235245    -206.9355881125            yes        10          41.86s
40          11.32   400         -827.74212833    -206.9355320825            yes        10          40.20s
40          11.31   400         -827.74189349    -206.9354733725            yes        10          40.16s
40          11.29   400         -827.74139232    -206.9353480800            yes        10          40.01s
40          11.28   400         -827.74112552    -206.9352813800            yes        10          39.66s
40          11.27   400         -827.74084811    -206.9352120275            yes        10          39.73s
40          11.26   400         -827.74055964    -206.9351399100            yes        10          39.75s
40          11.24   400         -827.73995036    -206.9349875900            yes        10          39.60s
40          11.23   400         -827.73962901    -206.9349072525            yes        10          41.45s
40          11.22   400         -827.73929616    -206.9348240400            yes        10          39.98s
40          11.21   400         -827.73895211    -206.9347380275            yes        10          41.83s
40          11.19   400         -827.73823007    -206.9345575175            yes        9           33.73s
40          11.18   400         -827.73785203    -206.9344630075            yes        11          43.07s
40          11.17   400         -827.73746199    -206.9343654975            yes        11          42.35s
40          11.16   400         -827.73705973    -206.9342649325            yes        11          42.14s
40          11.14   400         -827.73621956    -206.9340548900            yes        11          43.44s
40          11.13   400         -827.73578069    -206.9339451725            yes        11          45.18s
40          11.12   400         -827.73533073    -206.9338326825            yes        11          46.87s
40          11.11   400         -827.73486847    -206.9337171175            yes        11          46.64s
40          11.09   400         -827.73390618    -206.9334765450            yes        11          42.69s
40          11.08   400         -827.73340552    -206.9333513800            yes        10          41.46s
40          11.07   400         -827.73289269    -206.9332231725            yes        10          41.09s
40          11.06   400         -827.73236649    -206.9330916225            yes        10          40.60s
40          11.04   400         -827.73127504    -206.9328187600            yes        10          42.07s
40          11.03   400         -827.73070983    -206.9326774575            yes        9           34.74s
40          11.02   400         -827.73013105    -206.9325327625            yes        9           35.87s
40          11.01   400         -827.7295388     -206.9323847000            yes        9           34.27s
40          10.99   400         -827.72831374    -206.9320784350            yes        9           34.52s
40          10.98   400         -827.7276809     -206.9319202250            yes        9           35.85s
40          10.97   400         -827.72703411    -206.9317585275            yes        9           33.81s
40          10.96   400         -827.72637304    -206.9315932600            yes        9           34.89s
50          12.14   500         -827.73757124    -206.9343928100            yes        12          1m13.73s
50          12.13   500         -827.73788349    -206.9344708725            yes        12          1m12.99s
50          12.12   500         -827.73819352    -206.9345483800            yes        12          1m13.98s
50          12.11   500         -827.73850232    -206.9346255800            yes        12          1m14.33s
50          12.09   500         -827.73910455    -206.9347761375            yes        12          1m13.80s
50          12.08   500         -827.73940348    -206.9348508700            yes        12          1m12.84s
50          12.07   500         -827.7396976     -206.9349244000            yes        12          1m12.66s
50          12.06   500         -827.7399881     -206.9349970250            yes        12          1m12.15s
50          12.04   500         -827.74055911    -206.9351397775            yes        12          1m 9.25s
50          12.03   500         -827.74084048    -206.9352101200            yes        12          1m10.38s
50          12.02   500         -827.74111628    -206.9352790700            yes        12          1m10.59s
50          12.01   500         -827.74138773    -206.9353469325            yes        12          1m10.22s
50          11.99   500         -827.74191906    -206.9354797650            yes        12          1m 9.55s
50          11.98   500         -827.74217916    -206.9355447900            yes        12          1m10.26s
50          11.97   500         -827.74243554    -206.9356088850            yes        12          1m10.10s
50          11.96   500         -827.7426878     -206.9356719500            yes        12          1m10.52s
50          11.94   500         -827.74317616    -206.9357940400            yes        12          1m10.91s
50          11.93   500         -827.74341353    -206.9358533825            yes        12          1m10.50s
50          11.92   500         -827.74364701    -206.9359117525            yes        12          1m10.91s
50          11.91   500         -827.74387552    -206.9359688800            yes        12          1m11.16s
50          11.89   500         -827.74431464    -206.9360786600            yes        12          1m10.18s
50          11.88   500         -827.74452728    -206.9361318200            yes        12          1m10.40s
50          11.87   500         -827.74473425    -206.9361835625            yes        12          1m 8.83s
50          11.86   500         -827.74493561    -206.9362339025            yes        12          1m10.80s
50          11.84   500         -827.74532247    -206.9363306175            yes        12          1m 8.80s
50          11.83   500         -827.74550659    -206.9363766475            yes        12          1m10.74s
50          11.82   500         -827.74568411    -206.9364210275            yes        12          1m 8.77s
50          11.81   500         -827.74585828    -206.9364645700            yes        12          1m10.41s
50          11.79   500         -827.74618871    -206.9365471775            yes        12          1m 9.59s
50          11.78   500         -827.74634334    -206.9365858350            yes        12          1m11.12s
50          11.77   500         -827.74649168    -206.9366229200            yes        12          1m11.35s
50          11.76   500         -827.74663402    -206.9366585050            yes        12          1m11.24s
50          11.74   500         -827.74689816    -206.9367245400            yes        12          1m 8.71s
50          11.73   500         -827.74702038    -206.9367550950            yes        12          1m 8.52s
50          11.72   500         -827.74713725    -206.9367843125            yes        12          1m 8.04s
50          11.71   500         -827.74724574    -206.9368114350            yes        12          1m 8.27s
50          11.69   500         -827.74744435    -206.9368610875            yes        12          1m 8.57s
50          11.68   500         -827.74753155    -206.9368828875            yes        12          1m 8.60s
50          11.67   500         -827.74761316    -206.9369032900            yes        12          1m 8.86s
50          11.66   500         -827.74768665    -206.9369216625            yes        12          1m 7.67s
50          11.64   500         -827.74781295    -206.9369532375            yes        12          1m 9.03s
50          11.63   500         -827.74786468    -206.9369661700            yes        12          1m 7.63s
50          11.62   500         -827.74790809    -206.9369770225            yes        12          1m 9.10s
50          11.61   500         -827.74794506    -206.9369862650            yes        12          1m 8.38s
50          11.59   500         -827.74799532    -206.9369988300            yes        12          1m 8.44s
50          11.58   500         -827.74800829    -206.9370020725            yes        12          1m 7.37s
50          11.57   500         -827.74801143    -206.9370028575            yes        12          1m 8.31s
50          11.56   500         -827.7480079     -206.9370019750            yes        12          1m 6.99s
50          11.54   500         -827.74797517    -206.9369937925            yes        12          1m 7.57s
50          11.53   500         -827.74794927    -206.9369873175            yes        12          1m 8.07s
50          11.52   500         -827.74791285    -206.9369782125            yes        12          1m 6.45s
50          11.51   500         -827.74786815    -206.9369670375            yes        12          1m 6.80s
50          11.49   500         -827.74775223    -206.9369380575            yes        12          1m 5.94s
50          11.48   500         -827.74768009    -206.9369200225            yes        11          1m 2.20s
50          11.47   500         -827.7476003     -206.9369000750            yes        11          1m 2.36s
50          11.46   500         -827.74751159    -206.9368778975            yes        11          1m 2.31s
50          11.44   500         -827.74730577    -206.9368264425            yes        11          1m 1.65s
50          11.43   500         -827.74718917    -206.9367972925            yes        11          1m 1.69s
50          11.42   500         -827.74706473    -206.9367661825            yes        11          1m 3.38s
50          11.41   500         -827.74692857    -206.9367321425            yes        11          1m 2.88s
